00:05:39,https://www.remgam.ru/remont-i-otdelka,Mozilla/8.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 8.0,5.200.52.103 [ 5.200.52.103 ],,Mozilla/8.0 (compatible; MSIE4.00; Windows 2006),,,
00:09:44,,Etc (robo),Google (robo),crawl-66-249-79-155.googlebot.com [ 66.249.79.155 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
00:11:06,,Windows NT ,Netscape 6.0,fp76f0647c.knge319.ap.nuro.jp [ 118.240.100.124 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:15:48,http://in-sto.ru/clients/,Mozilla/7.0 (compatible; MSIE7.00; Windows 2009) (etc),Netscape 7.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/7.0 (compatible; MSIE7.00; Windows 2009),,,
00:16:49,http://www.wbs1.jp/bzgn2/13026/,Windows NT ,Netscape 6.0,p348202-ipngn3501akatuka.ibaraki.ocn.ne.jp [ 114.149.254.202 ],,Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.112 Safari/537.36,,,
00:23:47,https://eckonom.ru/schetchiki-optom,Mozilla/4.0 (compatible; MSIE7.00; Windows 2006) (etc),Netscape 4.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/4.0 (compatible; MSIE7.00; Windows 2006),,,
00:30:40,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,ZM028165.ppp.dion.ne.jp [ 222.8.28.165 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:39:27,http://kovrov.videon33.ru/,Mozilla/3.0 (compatible; MSIE4.00; Windows 2005) (etc),Netscape 3.0,5.200.52.93 [ 5.200.52.93 ],,Mozilla/3.0 (compatible; MSIE4.00; Windows 2005),,,
00:39:29,https://doservis.ru/publikacii/obshhedomovye-vodoschetchiki,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 6.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006),,,
00:42:55,,Windows NT ,Netscape 6.0,KD036008157064.ppp-bb.dion.ne.jp [ 36.8.157.64 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAFSJS; rv:11.0) like Gecko,,,
00:59:59,,Windows XP,MSIE 6.0,209.54.54.165 [ 209.54.54.165 ],,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),,,
