00:00:20,,Windows NT ,Netscape 6.0,121-87-64-239f1.osk2.eonet.ne.jp [ 121.87.64.239 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,,,
00:00:21,http://www.google.co.jp/,Linux,Netscape 6.0,8.55.82.118.cc9.ne.jp [ 118.82.55.8 ],,Mozilla/5.0 (Linux; Android 5.1.1; d-02H Build/HUAWEIM2-802LD) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Safari/537.36,,,
00:11:22,,Windows NT ,Netscape 6.0,pd9e222.gifunt01.ap.so-net.ne.jp [ 111.217.226.34 ],,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,,,
00:12:07,,Windows NT ,Netscape 4.0,broadband-109-173-125-248.moscow.rt.ru [ 109.173.125.248 ],,Mozilla/4.0 (compatible; Synapse)ÅC Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko,,,
00:19:35,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,ZM004077.ppp.dion.ne.jp [ 222.8.4.77 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:20:04,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD182250253199.au-net.ne.jp [ 182.250.253.199 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:20:05,,Macintosh,Netscape 6.0,i60-36-104-35.s41.a014.ap.plala.or.jp [ 60.36.104.35 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0.2 Safari/602.3.12,,,
00:24:17,,Windows NT ,Netscape 6.0,catv91078.tac-net.ne.jp [ 202.216.191.78 ],,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,,,
00:25:28,,Linux,Mozilla 5.0,i114-187-99-157.s41.a040.ap.plala.or.jp [ 114.187.99.157 ],,Mozilla/5.0 (Linux; Android 4.4.2; SH-06F Build/SB140) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Safari/537.36,,,
00:29:06,http://search.yahoo.co.jp/,Windows NT ,Netscape 6.0,p4af24a.sitmnt01.ap.so-net.ne.jp [ 120.74.242.74 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:58:28,,Windows NT ,Netscape 6.0,p144092-ipngn2601kokuryo.gunma.ocn.ne.jp [ 153.137.206.92 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
01:00:17,,Etc (robo),Google (robo),crawl-66-249-65-243.googlebot.com [ 66.249.65.243 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
01:01:17,,Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-250-223.msb.spmode.ne.jp [ 1.75.250.223 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTMLÅC like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4,,,
01:10:09,http://www2.hayabusa.co.jp/contents/link/shop.html,Windows NT ,Netscape 6.0,KD124208090055.ppp-bb.dion.ne.jp [ 124.208.90.55 ],,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
01:22:34,http://ugser.ru/,Mozilla/7.0 (compatible; MSIE7.00; Windows 2008) (etc),Netscape 7.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/7.0 (compatible; MSIE7.00; Windows 2008),,,
01:27:49,,Windows NT ,Netscape 6.0,214.227.156.59.ap.yournet.ne.jp [ 59.156.227.214 ],,Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
01:32:44,,Macintosh,Netscape 6.0,133.50.200.111 [ 133.50.200.111 ],,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.95 Safari/537.36,,,
01:34:34,http://www.zeushydro.ru/maslostancii/maslostanciya-28-20.html,Mozilla/7.0 (compatible; MSIE4.00; Windows 2008) (etc),Netscape 7.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/7.0 (compatible; MSIE4.00; Windows 2008),,,
01:40:14,http://nsk.club/poster/1781-mult-v-kino-vypusk-38.html,Mozilla/6.0 (compatible; MSIE2.00; Windows 2006) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/6.0 (compatible; MSIE2.00; Windows 2006),,,
01:42:08,http://vanilla-dream.ru/shop/transformer/wedding-dress-tasha/,Mozilla/5.0 (compatible; MSIE4.00; Windows 2005) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2005),,,
01:53:54,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,softbank126014245062.bbtec.net [ 126.14.245.62 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
02:04:13,http://in-sto.ru/stendy-shod-razvala/,Mozilla/5.0 (compatible; MSIE2.00; Windows 2004) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.238.17 ],,Mozilla/5.0 (compatible; MSIE2.00; Windows 2004),,,
02:04:48,,Etc (robo),Google (robo),crawl-66-249-65-240.googlebot.com [ 66.249.65.240 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:05:44,,Linux,Mozilla 5.0,softbank126127132130.bbtec.net [ 126.127.132.130 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-04H Build/35.0.B.2.355) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
02:07:12,http://uptime.com/ozzys.jp,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot) (etc),Netscape 6.0,74.115.214.130 [ 74.115.214.130 ],,Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot),,,
02:07:56,https://xn----7sbabm1ahc4b2aqff.su/,Mozilla/6.0 (compatible; MSIE2.00; Windows 2002) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.48.150 ],,Mozilla/6.0 (compatible; MSIE2.00; Windows 2002),,,
02:18:39,,Etc (robo),Google (robo),crawl-66-249-65-40.googlebot.com [ 66.249.65.40 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
02:26:46,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:26:58,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD124213172114.ppp-bb.dion.ne.jp [ 124.213.172.114 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:35:14,http://kidsmi.ru/leto-na-anglijskom/,Mozilla/2.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 2.0,piterskiyua.example.com [ 178.159.43.212 ],,Mozilla/2.0 (compatible; MSIE6.00; Windows 2004),,,
02:38:08,https://ladyclub.org/news/fen-shuj-i-zdorove-cheloveka,Mozilla/3.0 (compatible; MSIE6.00; Windows 2003) (etc),Netscape 3.0,irobert.ballard.example.com [ 185.154.13.6 ],,Mozilla/3.0 (compatible; MSIE6.00; Windows 2003),,,
02:40:57,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,softbank126150058169.bbtec.net [ 126.150.58.169 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
02:44:51,,X11,Mozilla 5.0,google-proxy-66-102-6-78.google.com [ 66.102.6.78 ],,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.75 Safari/537.36 Google Favicon,,,
02:45:45,,Windows XP,Netscape 6.0,KD121110216143.ppp-bb.dion.ne.jp [ 121.110.216.143 ],,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.112 Safari/537.36,,,
02:45:45,,Windows XP,Netscape 6.0,KD121110216143.ppp-bb.dion.ne.jp [ 121.110.216.143 ],,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/49.0.2623.112 Safari/537.36,,,
02:52:34,,Windows NT ,MSIE 9.0,i58-89-28-101.s41.a010.ap.plala.or.jp [ 58.89.28.101 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),,,
03:09:50,,Etc (robo),Google (robo),crawl-66-249-65-237.googlebot.com [ 66.249.65.237 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
03:25:52,http://xn----8sbwhzjq7b3a.xn--p1ai/vozdushnye-shary/shary-na-9-maya/svetyashiesya-shary-raznocvetnye,Mozilla/5.0 (compatible; MSIE2.00; Windows 2003) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.145.95 ],,Mozilla/5.0 (compatible; MSIE2.00; Windows 2003),,,
03:26:21,,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/) (etc),Mozilla 5.0,evo-hl21-1.gameservers.net [ 62.212.73.211 ],,Mozilla/5.0 (compatible; MJ12bot/v1.4.7; http://mj12bot.com/),,,
03:45:54,,Windows NT ,MSIE 9.0,i58-89-28-101.s41.a010.ap.plala.or.jp [ 58.89.28.101 ],,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),,,
03:58:09,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,softbank126094235109.bbtec.net [ 126.94.235.109 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
04:02:30,,Etc (robo),Google (robo),crawl-66-249-79-115.googlebot.com [ 66.249.79.115 ],,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
04:06:49,http://xn----8sbwhzjq7b3a.xn--p1ai/folgirovannye-shary/folgirovannyj-shar-aist,Mozilla/8.0 (compatible; MSIE4.00; Windows 2004) (etc),Netscape 8.0,ptr.ruvds.com [ 195.133.144.24 ],,Mozilla/8.0 (compatible; MSIE4.00; Windows 2004),,,
04:09:34,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1 (etc),Netscape 6.0,pw126245192069.16.panda-world.ne.jp [ 126.245.192.69 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTMLÅC like Gecko) Version/10.0 Mobile/14A456 Safari/602.1,,,
04:13:42,,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) (etc),Mozilla 5.0,msnbot-157-55-39-61.search.msn.com [ 157.55.39.61 ],,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),,,
04:16:20,,Etc (robo),Google (robo),crawl-66-249-79-123.googlebot.com [ 66.249.79.123 ],,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,,
04:16:47,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,210-146-199-199.east.fdn.vectant.ne.jp [ 210.146.199.199 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
04:30:07,,Windows NT ,Netscape 6.0,KD106174103071.ppp-bb.dion.ne.jp [ 106.174.103.71 ],,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.87 Safari/537.36,,,
04:31:11,http://ugser.ru/,Mozilla/4.0 (compatible; MSIE4.00; Windows 2002) (etc),Netscape 4.0,ptr.5x00.com [ 193.124.131.168 ],,Mozilla/4.0 (compatible; MSIE4.00; Windows 2002),,,
04:37:07,,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) (etc),Mozilla 5.0,msnbot-157-55-39-61.search.msn.com [ 157.55.39.61 ],,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),,,
04:38:18,,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),Hatena Antenna/0.5 (http://a.hatena.ne.jp/help) (etc),gw08.hatena.ne.jp [ 59.106.108.116 ],,Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),,,
04:42:06,,Linux,Netscape 6.0,sp1-72-4-11.msc.spmode.ne.jp [ 1.72.4.11 ],,Mozilla/5.0 (Linux; U; Android 4.4.2; ja-jp; F-01F Build/V10R22A) AppleWebKit/534.30 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/534.30,,,
04:53:10,,Linux,Mozilla 5.0,p91066-ipngn2201kokuryo.gunma.ocn.ne.jp [ 220.107.218.66 ],,Mozilla/5.0 (Linux; Android 6.0; SO-01H Build/32.1.F.1.75) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
04:53:20,http://tsrwood.ru/hod-stroitel-stva.html,Mozilla/8.0 (compatible; MSIE6.00; Windows 2004) (etc),Netscape 8.0,194.87.239.5 [ 194.87.239.5 ],,Mozilla/8.0 (compatible; MSIE6.00; Windows 2004),,,
04:55:07,http://vanilla-dream.ru/shop/rusalka/wedding-dress-leslie/,Mozilla/6.0 (compatible; MSIE4.00; Windows 2009) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.89 ],,Mozilla/6.0 (compatible; MSIE4.00; Windows 2009),,,
04:56:41,http://www.zeushydro.ru/maslostancii/maslostanciya-30-3_5.html,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006) (etc),Netscape 6.0,unspecified.mtw.ru [ 194.87.234.246 ],,Mozilla/5.0 (compatible; MSIE4.00; Windows 2006),,,
05:01:06,http://nsk.club/poster/1908-dyhanie-nochi-v-maksimilians.html,Mozilla/5.0 (compatible; MSIE6.00; Windows 2008) (etc),Netscape 6.0,ptr.ruvds.com [ 195.133.147.6 ],,Mozilla/5.0 (compatible; MSIE6.00; Windows 2008),,,
05:07:24,,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) (etc),Mozilla 5.0,msnbot-157-55-39-61.search.msn.com [ 157.55.39.61 ],,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),,,
