00:06:33,,Windows NT ,Netscape 6.0,FL1-110-233-99-222.gnm.mesh.ad.jp [ 110.233.99.222 ],,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,,,
00:13:50,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD106156132073.ppp-bb.dion.ne.jp [ 106.156.132.73 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML， like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:16:23,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,FLH1Aam025.stm.mesh.ad.jp [ 133.205.219.25 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:17:24,http://www.megabass.co.jp/site/freshwater/levante_japan_limited/,Windows NT ,Netscape 6.0,p2157-ipbf503hiraide.tochigi.ocn.ne.jp [ 118.6.45.157 ],,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/56.0.2924.87 Safari/537.36,,,
00:20:28,,Windows NT ,Netscape 6.0,202-229-50-207.ap-p27.canvas.ne.jp [ 202.229.50.207 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:23:22,android-app://com.google.android.googlequicksearchbox,Linux,Mozilla 5.0,KD106163160205.ppp-bb.dion.ne.jp [ 106.163.160.205 ],,Mozilla/5.0 (Linux; Android 6.0.1; SOV33 Build/35.0.D.0.326) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:27:35,,Linux,Mozilla 5.0,sp49-98-149-182.msd.spmode.ne.jp [ 49.98.149.182 ],,Mozilla/5.0 (Linux; Android 6.0.1; SC-02H Build/MMB29M) AppleWebKit/537.36 (KHTML， like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36,,,
00:39:00,http://www.ozzys.jp/,Windows XP,Netscape 6.0,62-210-148-91.rev.poneytelecom.eu [ 62.210.148.91 ],,Mozilla/5.0 (Windows; Windows NT 5.1; en-US) Firefox/3.5.0,,,
00:39:17,,Windows NT ,Netscape 6.0,KD106161244105.au-net.ne.jp [ 106.161.244.105 ],,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:51.0) Gecko/20100101 Firefox/51.0,,,
00:57:35,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML， like Gecko) Version/10.0 Mobile/14B100 Safari/602.1 (etc),Netscape 6.0,pw126247080216.14.panda-world.ne.jp [ 126.247.80.216 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML， like Gecko) Version/10.0 Mobile/14B100 Safari/602.1,,,
01:06:23,,Windows NT ,Netscape 6.0,KD111239037189.au-net.ne.jp [ 111.239.37.189 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
