00:00:33,,Windows NT ,Netscape 6.0,202-229-50-207.ap-p27.canvas.ne.jp [ 202.229.50.207 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:02:16,https://search.yahoo.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,FLH1Aam025.stm.mesh.ad.jp [ 133.205.219.25 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:09:39,http://search.yahoo.co.jp/r/FOR=BhJf5GhV3ijCZ6jQVPpBDFGPpTLsCBE5PfMVykfPjfIhwUOhfr0CnGSHRVjyXPrWV61N0vf6cKCLg7Rp0PP2SYuKsmZqpNnXGLlHc.mpHJCZ7IwwPRoiTMeDjRQ7ASXIotdRSIV5uh0O3pdlvOl7ZSXibyS_AnYL03lxmQz7ES_IEVErMn332JMX06yWE01d9efasqwkQDatgy5P/_ylt=A7dPehKvBqtY7zkAnx3jm_B7;_ylu=X3oDMTBtNHJhZXRnBHBvcwMxBHNlYwNzcgRzbGsDdGl0bGU-/SIG=118ig9s7l/EXP=1487704175/**http://www.ozzys.jp/,Linux,Netscape 6.0,sp1-75-247-125.msb.spmode.ne.jp [ 1.75.247.125 ],,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; F-01F Build/V19R43G) AppleWebKit/534.30 (KHTMLÅC like Gecko) Version/4.0 Mobile Safari/534.30 YJApp-ANDROID jp.co.yahoo.android.yjtop/2.2.3,,,
00:11:35,,Windows NT ,Netscape 6.0,p1077-ipbf509kokuryo.gunma.ocn.ne.jp [ 118.7.72.77 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:12:38,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,p531226-ipngn1003souka.saitama.ocn.ne.jp [ 180.53.203.226 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:16:49,,Linux,Netscape 6.0,KD182250248004.au-net.ne.jp [ 182.250.248.4 ],,Mozilla/5.0 (Linux; U; Android 4.4.2; ja-jp; LGL22 Build/KOT49I.LGL2220f) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/30.0.1599.103 Mobile Safari/537.36,,,
00:22:40,,Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13C75 Safari/601.1 (etc),Netscape 6.0,pw126199016041.18.panda-world.ne.jp [ 126.199.16.41 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTMLÅC like Gecko) Version/9.0 Mobile/13C75 Safari/601.1,,,
00:26:42,,Windows NT ,Netscape 6.0,42-151-77-16.rev.home.ne.jp [ 42.151.77.16 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:30:56,,Windows NT ,MSIE 5.0,93.175.201.33 [ 93.175.201.33 ],,Mozilla/4.0 (compatible; MSIE 5.0; Windows NT; DigExt; DTS Agent,,,
00:36:36,,Linux,Mozilla 5.0,i121-112-78-133.s41.a010.ap.plala.or.jp [ 121.112.78.133 ],,Mozilla/5.0 (Linux; Android 6.0.1; F-04G Build/V14R51E; wv) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:36:41,android-app://com.google.android.googlequicksearchbox,Linux,Mozilla 5.0,sp49-98-173-105.msd.spmode.ne.jp [ 49.98.173.105 ],,Mozilla/5.0 (Linux; Android 6.0.1; SO-02J Build/34.1.B.2.32) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36,,,
00:36:57,,Windows NT ,Netscape 6.0,KD106157222140.ppp-bb.dion.ne.jp [ 106.157.222.140 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
00:37:01,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,KD121105119169.ppp-bb.dion.ne.jp [ 121.105.119.169 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:40:04,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1 (etc),Netscape 6.0,KD106181090237.au-net.ne.jp [ 106.181.90.237 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTMLÅC like Gecko) Version/10.0 Mobile/14C92 Safari/602.1,,,
00:42:19,http://sp-web.search.auone.jp/search?q=„Ç™„Ç∏‚Äï„Ç∫Èá£ÂÖ∑Â∫ó&sr=0090&client=mobile-kddi&channel=android,Linux,Netscape 6.0,KD111107180136.au-net.ne.jp [ 111.107.180.136 ],,Mozilla/5.0 (Linux; U; Android 4.4.2; ja-jp; LGL22 Build/KOT49I.LGL2220f) AppleWebKit/537.36 (KHTMLÅC like Gecko) Version/4.0 Chrome/30.0.1599.103 Mobile Safari/537.36,,,
00:56:03,,Linux,Mozilla 5.0,google-proxy-66-249-82-154.google.com [ 66.249.82.154 ],1.1 Chrome-Compression-Proxy,Mozilla/5.0 (Linux; Android 6.0; SOV32 Build/32.1.C.0.364) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36,,,
00:56:17,http://www.ozzys.jp/,Linux,Mozilla 5.0,google-proxy-66-249-82-152.google.com [ 66.249.82.152 ],1.1 Chrome-Compression-Proxy,Mozilla/5.0 (Linux; Android 6.0; SOV32 Build/32.1.C.0.364) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36,,,
00:58:29,,Windows NT ,Netscape 6.0,catv91078.tac-net.ne.jp [ 202.216.191.78 ],,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,,,
00:58:34,,Windows NT ,Netscape 6.0,i118-20-222-222.s05.a011.ap.plala.or.jp [ 118.20.222.222 ],,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,,,
01:00:57,,Windows NT ,Netscape 6.0,ntgnma058152.gnma.nt.ngn.ppp.infoweb.ne.jp [ 124.27.217.152 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
01:00:58,,Windows NT ,Netscape 6.0,ntgnma058152.gnma.nt.ngn.ppp.infoweb.ne.jp [ 124.27.217.152 ],,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTMLÅC like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393,,,
01:01:58,http://search.yahoo.co.jp/r/FOR=_QqzarlV3ihj7temCjCs.6HyR4VeAB8bvFaacQUmDYu4RdGpumqkyPBy_hcaGeqqGwcBBPYeBEU_Nm1N3MSnIl6Hzqi9iKztqXvDgDj89r.wIMLhrspkkOO1ec5m_TP2exaEbJrgOIvu6YAgkFBEdEspCAE9_6sVWrD.nI5F5Weciif1wzov2UNOtHME3KDN02Csj4o-/_ylt=A7dPehHxEqtY6ToAgHmDTwx.;_ylu=X3oDMTBtNHJhZXRnBHBvcwMxBHNlYwNzcgRzbGsDdGl0bGU-/SIG=118i579b0/EXP=1487707313/**http://www.ozzys.jp/,Mozilla/5.0 (jig browser10i 1.1.7; N01G; 2063) (etc),Netscape 6.0,re18.sacloud.jig.jp [ 133.242.244.228 ],,Mozilla/5.0 (jig browser10i 1.1.7; N01G; 2063),,,
01:02:31,,Mozilla/5.0 (jig browser10i 1.1.7; N01G; 2063) (etc),Netscape 6.0,re18.sacloud.jig.jp [ 133.242.244.228 ],,Mozilla/5.0 (jig browser10i 1.1.7; N01G; 2063),,,
01:04:41,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,61-26-23-109.rev.home.ne.jp [ 61.26.23.109 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTMLÅC like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
