00:02:18,,Windows NT ,Netscape 6.0,p144092-ipngn2601kokuryo.gunma.ocn.ne.jp [ 153.137.206.92 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:05:56,,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1 (etc),Netscape 6.0,i223-217-118-79.s41.a010.ap.plala.or.jp [ 223.217.118.79 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML， like Gecko) Version/10.0 Mobile/14D27 Safari/602.1,,,
00:11:01,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-7-149.msc.spmode.ne.jp [ 1.75.7.149 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4,,,
00:15:54,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML， like Gecko) Version/9.0 Mobile/13F69 Safari/601.1 (etc),Netscape 6.0,p6e437fa8.sitmnt01.ap.so-net.ne.jp [ 110.67.127.168 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML， like Gecko) Version/9.0 Mobile/13F69 Safari/601.1,,,
00:19:20,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-7-149.msc.spmode.ne.jp [ 1.75.7.149 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4,,,
00:20:23,,Windows NT ,Netscape 6.0,p8fbd00d8.chibnt01.ap.so-net.ne.jp [ 143.189.0.216 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,,
00:22:56,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-7-149.msc.spmode.ne.jp [ 1.75.7.149 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4,,,
00:24:44,,Windows NT ,Netscape 6.0,FL1-118-108-205-97.stm.mesh.ad.jp [ 118.108.205.97 ],,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,,,
00:25:38,https://www.google.co.jp/,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4 (etc),Netscape 6.0,sp1-75-7-149.msc.spmode.ne.jp [ 1.75.7.149 ],,Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4,,,
00:26:55,,Windows NT ,Netscape 6.0,i118-20-136-227.s04.a009.ap.plala.or.jp [ 118.20.136.227 ],,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,,
00:28:48,,Windows NT ,Netscape 6.0,s225.135.21.1.ipda.vectant.ne.jp [ 1.21.135.225 ],,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,,,
00:46:20,android-app://com.google.android.googlequicksearchbox,Linux,Mozilla 5.0,i60-42-104-202.s05.a011.ap.plala.or.jp [ 60.42.104.202 ],,Mozilla/5.0 (Linux; Android 7.0; SOV33 Build/39.2.C.0.203) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:46:57,http://www.ozzys.jp/tenpo/,Linux,Mozilla 5.0,i60-42-104-202.s05.a011.ap.plala.or.jp [ 60.42.104.202 ],,Mozilla/5.0 (Linux; Android 7.0; SOV33 Build/39.2.C.0.203) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:47:11,http://www.ozzys.jp/,Linux,Mozilla 5.0,i60-42-104-202.s05.a011.ap.plala.or.jp [ 60.42.104.202 ],,Mozilla/5.0 (Linux; Android 7.0; SOV33 Build/39.2.C.0.203) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
00:47:36,http://www.ozzys.jp/,Linux,Mozilla 5.0,i60-42-104-202.s05.a011.ap.plala.or.jp [ 60.42.104.202 ],,Mozilla/5.0 (Linux; Android 7.0; SOV33 Build/39.2.C.0.203) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36,,,
