"PLUID","商品番号","商品名","中分類コード","在庫数","詳細登録","表示・非表示",
"1106322052006","","霞ヶ浦、北浦バスマップ","501","0","未登録","-----",
"0014044102392","","ALLEN:ゲーターテール7:＃39ウォーターメロン:7in:N","102","2","未登録","-----",
"0014044102866","","ALLEN:ゲーターテール7:＃86スモークシルバーフレーク:7in:N","102","1","未登録","-----",
"0014044102897","","ALLEN:ゲーターテール7:＃89グリーンパンプキン:7in:N","102","0","未登録","-----",
"0014044104082","","ALLEN:3ファイアークロー:＃08ブルーシャドウシャッド:3in:N","102","1","未登録","-----",
"0014044104396","","ALLEN:3ファイアークロー:＃39ウォーターメロン:3in:N","102","0","未登録","-----",
"0014044104440","","ALLEN:3ファイアークロー:＃44テキサスファイアークラッカー:3in:N","102","3","未登録","-----",
"0014044104525","","ALLEN:3ファイアークロー:＃52ジュンバグ:3in:N","102","0","未登録","-----",
"0014044104587","","ALLEN:3ファイアークロー:＃58エレクト.レッドシャッド:3in:N","102","3","未登録","-----",
"0014044104679","","ALLEN:3ファイアークロー:＃67クローフィシュ:3in:N","102","0","未登録","-----",
"0014044104891","","ALLEN:3ファイアークロー:＃89グリーンパンプキン:3in:N","102","2","未登録","-----",
"0014394101038","","フレックスコート:フレックスコーキットF2P・2oz:::N","903","2","未登録","-----",
"0014394101182","","フレックスコート:フレックスコートライトキット・2oz:::N","903","0","未登録","-----",
"0014394101397","","フレックスコート:フレックスコートライトキット・2oz:::N","903","3","未登録","-----",
"0014599040057","","SWIVL-EZE:トランサムセーバーSP400R:::N","701","1","未登録","-----",
"0014745698002","","タイトロック:ウルトラマウント:::N","701","12","未登録","-----",
"0016986521705","","リーシッシン:タイニーティッカー:＃170シャッド::N","101","0","未登録","-----",
"0016986522719","","リーシッシン:タイニーティッカー:＃271ファイアータイガー::N","101","0","未登録","-----",
"0016986522818","","リーシッシン:タイニーティッカー:＃281ブラウンタイガー::N","101","0","未登録","-----",
"0016986524812","","リーシッシン:タイニーティッカー:＃481クロ-フィッシュ::N","101","0","未登録","-----",
"0016986526526","","リーシッシン:タイニーティッカー:＃652ブルー/グリーングリッター::N","101","0","未登録","-----",
"0016986710116","","リーシッソン:テネシータフィー・T1:ファイヤータイガー::N","101","2","未登録","-----",
"0016986710178","","リーシッソン:テネシータフィー・T1:バーミンガムブルー::N","101","0","未登録","-----",
"0016986716583","","リーシッソン:テネシータフィー・T1:ブルークロー::N","101","1","未登録","-----",
"0016986760067","","リーシッシン:SLIM WILLIE S:テネシーシャッドブルー::N","101","0","未登録","-----",
"0016986760111","","リーシッシン:SLIM WILLIE S:ファイヤータイガー::N","101","0","未登録","-----",
"0016986760135","","リーシッシン:SLIM WILLIE S:パープルサン::N","101","0","未登録","-----",
"0016986760166","","リーシッシン:SLIM WILLIE S:グリーンアップル::N","101","0","未登録","-----",
"0016986760173","","リーシッシン:SLIM WILLIE S:バーミンガムブルー::N","101","0","未登録","-----",
"0017997002023","","ポー:スーパーセダーSC200:02::N","101","5","未登録","-----",
"0017997002177","","ポー:スーパーセダーSC200:17::N","101","0","未登録","-----",
"0017997008155","","ポー:スーパーセダーSC200:148::N","101","0","未登録","-----",
"0017997010042","","ポー:RC1-1900:＃160::N","101","1","未登録","-----",
"0017997019069","","ポー:RC1-1900:＃53::N","101","0","未登録","-----",
"0017997019533","","ポー:RC1-1900:＃53::N","101","2","未登録","-----",
"0017997019618","","ポー:RC1-1900:＃61::N","101","4","未登録","-----",
"0020495000194","12690","コットンコーデル:ゲイブレードC14:＃04:1/4oz:N","101","6","登録済み","表示",
"0020495000200","12691","コットンコーデル:ゲイブレードC14:＃11:1/4oz:N","101","6","登録済み","表示",
"0020495000217","12692","コットンコーデル:ゲイブレードC14:＃42:1/4oz:N","101","3","登録済み","表示",
"0020495000576","","コットンコーデル:ゲイブレードC38:＃04:3/8oz:N","101","6","未登録","-----",
"0020495000583","","コットンコーデル:ゲイブレードC38:＃11:3/8oz:N","101","6","未登録","-----",
"0020495000606","12694","コットンコーデル:ゲイブレードC38:＃42:3/8oz:N","101","3","登録済み","表示",
"0020495001795","12693","コットンコーデル:ゲイブレードC14:＃06:1/4oz:N","101","6","登録済み","表示",
"0020495001849","","コットンコーデル:ビッグO:C7804::N","101","4","未登録","-----",
"0020495002532","","コットンコーデル:クレージーシャッド:12::N","101","6","未登録","-----",
"0020495002570","","コットンコーデル:クレージーシャッド:85::N","101","5","未登録","-----",
"0020495004826","","コットンコーデル:ゲイブレードC38:＃06:3/8oz:N","101","5","未登録","-----",
"0020495022097","","コットンコーデル:スーパースポット1/2oz:＃C2469::N","101","2","未登録","-----",
"0020495022134","","コットンコーデル:スーパースポット1/2oz:C2506::N","101","1","未登録","-----",
"0020495022165","","コットンコーデル:スーパースポット1/4oz:C2569::N","101","5","未登録","-----",
"0020495025401","","コットンコーデル:スーパースポット1/2oz:C2503::N","101","0","未登録","-----",
"0020495026064","","コットンコーデル:スーパースポット1/2oz:C25186::N","101","1","未登録","-----",
"0020495027276","","コットンコーデル:サスペンドスポットCS252:＃06::N","101","2","未登録","-----",
"0020495027283","","コットンコーデル:サスペンドスポットCS252:＃69::N","101","0","未登録","-----",
"0020495027290","","コットンコーデル:サスペンドスポットCS252:＃81::N","101","0","未登録","-----",
"0020495028105","","コットンコーデル:スーパースポット1/4oz:＃86::N","101","1","未登録","-----",
"0020495031181","","コットンコーデル:スーパースポットC25S:＃WAY::N","101","4","未登録","-----",
"0020554001537","11485","レーベル:バジンフロッグ:＃T460::N","101","0","登録済み","表示",
"0020554002558","","レーベル:フロッグF71:＃60::N","101","0","未登録","-----",
"0020554003081","","レーベル:フロッグF71:＃79::N","101","0","未登録","-----",
"0020554011642","","レーベル:ポップR:P6000::N","101","1","未登録","-----",
"0020554011659","","レーベル:ポップR:P6001::N","101","1","未登録","-----",
"0020554011673","","レーベル:ポップR:P6003::N","101","3","未登録","-----",
